Approach, Number of Writers, Buffer Size, Numbers to write, Time elapsed
Three-Pointer,4 ,524288    ,262144    ,0.040077634
Three-Pointer,4 ,524288    ,262144    ,0.037698119
Three-Pointer,4 ,524288    ,262144    ,0.038085100
Three-Pointer,4 ,524288    ,262144    ,0.038270478
Three-Pointer,4 ,524288    ,262144    ,0.039342214
Three-Pointer,4 ,524288    ,524288    ,0.048690251
Three-Pointer,4 ,524288    ,524288    ,0.048697805
Three-Pointer,4 ,524288    ,524288    ,0.048577748
Three-Pointer,4 ,524288    ,524288    ,0.049415798
Three-Pointer,4 ,524288    ,524288    ,0.048564123
Three-Pointer,4 ,524288    ,1048576   ,0.094037489
Three-Pointer,4 ,524288    ,1048576   ,0.093748964
Three-Pointer,4 ,524288    ,1048576   ,0.094652695
Three-Pointer,4 ,524288    ,1048576   ,0.093588925
Three-Pointer,4 ,524288    ,1048576   ,0.095843015
Three-Pointer,4 ,524288    ,2097152   ,0.180621191
Three-Pointer,4 ,524288    ,2097152   ,0.179765217
Three-Pointer,4 ,524288    ,2097152   ,0.177261924
Three-Pointer,4 ,524288    ,2097152   ,0.177110861
Three-Pointer,4 ,524288    ,2097152   ,0.180202169
Three-Pointer,4 ,524288    ,4194304   ,0.238385310
Three-Pointer,4 ,524288    ,4194304   ,0.231451585
Three-Pointer,4 ,524288    ,4194304   ,0.240102536
Three-Pointer,4 ,524288    ,4194304   ,0.238237123
Three-Pointer,4 ,524288    ,4194304   ,0.239466848
Three-Pointer,4 ,524288    ,8388608   ,0.343747982
Three-Pointer,4 ,524288    ,8388608   ,0.337703226
Three-Pointer,4 ,524288    ,8388608   ,0.337934865
Three-Pointer,4 ,524288    ,8388608   ,0.364881194
Three-Pointer,4 ,524288    ,8388608   ,0.336370522
Three-Pointer,4 ,524288    ,16777216  ,0.600040034
Three-Pointer,4 ,524288    ,16777216  ,0.547721741
Three-Pointer,4 ,524288    ,16777216  ,0.589307151
Three-Pointer,4 ,524288    ,16777216  ,0.581979593
Three-Pointer,4 ,524288    ,16777216  ,0.454382644
Three-Pointer,4 ,524288    ,33554432  ,1.060747507
Three-Pointer,4 ,524288    ,33554432  ,1.006063132
Three-Pointer,4 ,524288    ,33554432  ,1.051139062
Three-Pointer,4 ,524288    ,33554432  ,1.067507603
Three-Pointer,4 ,524288    ,33554432  ,1.042061632
Three-Pointer,4 ,524288    ,67108864  ,2.004816621
Three-Pointer,4 ,524288    ,67108864  ,2.019110721
Three-Pointer,4 ,524288    ,67108864  ,1.923586835
Three-Pointer,4 ,524288    ,67108864  ,1.935817003
Three-Pointer,4 ,524288    ,67108864  ,1.967819653
Three-Pointer,4 ,524288    ,134217728 ,4.041080132
Three-Pointer,4 ,524288    ,134217728 ,3.885451218
Three-Pointer,4 ,524288    ,134217728 ,3.838359626
Three-Pointer,4 ,524288    ,134217728 ,3.845434668
Three-Pointer,4 ,524288    ,134217728 ,3.837726002
Three-Pointer,4 ,4194304   ,262144    ,0.026381202
Three-Pointer,4 ,4194304   ,262144    ,0.028201014
Three-Pointer,4 ,4194304   ,262144    ,0.027220000
Three-Pointer,4 ,4194304   ,262144    ,0.025255192
Three-Pointer,4 ,4194304   ,262144    ,0.025802199
Three-Pointer,4 ,4194304   ,524288    ,0.048917966
Three-Pointer,4 ,4194304   ,524288    ,0.047841866
Three-Pointer,4 ,4194304   ,524288    ,0.048267051
Three-Pointer,4 ,4194304   ,524288    ,0.050573950
Three-Pointer,4 ,4194304   ,524288    ,0.048538595
Three-Pointer,4 ,4194304   ,1048576   ,0.092836137
Three-Pointer,4 ,4194304   ,1048576   ,0.096165849
Three-Pointer,4 ,4194304   ,1048576   ,0.094500277
Three-Pointer,4 ,4194304   ,1048576   ,0.093308988
Three-Pointer,4 ,4194304   ,1048576   ,0.092395654
Three-Pointer,4 ,4194304   ,2097152   ,0.186190810
Three-Pointer,4 ,4194304   ,2097152   ,0.190366905
Three-Pointer,4 ,4194304   ,2097152   ,0.188316010
