Approach, Number of Writers, Buffer Size, Numbers to write, Time elapsed
Three-Pointer,8 ,16384     ,67108864  ,5.474513101
Three-Pointer,8 ,16384     ,67108864  ,4.706519382
Three-Pointer,8 ,16384     ,67108864  ,4.757385796
Three-Pointer,8 ,16384     ,67108864  ,5.437548853
Three-Pointer,8 ,16384     ,67108864  ,5.445312227
Three-Pointer,8 ,65536     ,67108864  ,5.394207659
Three-Pointer,8 ,65536     ,67108864  ,4.736700455
Three-Pointer,8 ,65536     ,67108864  ,5.477220091
Three-Pointer,8 ,65536     ,67108864  ,4.819659350
Three-Pointer,8 ,65536     ,67108864  ,4.494776027
Three-Pointer,8 ,262144    ,67108864  ,4.716312939
Three-Pointer,8 ,262144    ,67108864  ,4.885346765
Three-Pointer,8 ,262144    ,67108864  ,4.718446534
Three-Pointer,8 ,262144    ,67108864  ,4.475354953
Three-Pointer,8 ,262144    ,67108864  ,4.947133032
Three-Pointer,8 ,1048576   ,67108864  ,5.150034223
Three-Pointer,8 ,1048576   ,67108864  ,5.328821408
Three-Pointer,8 ,1048576   ,67108864  ,5.125548247
Three-Pointer,8 ,1048576   ,67108864  ,5.121662853
Three-Pointer,8 ,1048576   ,67108864  ,5.959299065
Three-Pointer,8 ,4194304   ,67108864  ,6.615234896
Three-Pointer,8 ,4194304   ,67108864  ,6.752202268
Three-Pointer,8 ,4194304   ,67108864  ,6.411986911
Three-Pointer,8 ,4194304   ,67108864  ,6.604515579
Three-Pointer,8 ,4194304   ,67108864  ,6.562645327
Three-Pointer,8 ,16777216  ,67108864  ,13.064852605
Three-Pointer,8 ,16777216  ,67108864  ,13.170871825
Three-Pointer,8 ,16777216  ,67108864  ,13.149634155
Three-Pointer,8 ,16777216  ,67108864  ,13.026995008
Three-Pointer,8 ,16777216  ,67108864  ,12.416438857
Three-Pointer,8 ,67108864  ,67108864  ,20.714451007
Three-Pointer,8 ,67108864  ,67108864  ,21.312639802
Three-Pointer,8 ,67108864  ,67108864  ,21.087869257
Three-Pointer,8 ,67108864  ,67108864  ,20.910142017
Three-Pointer,8 ,67108864  ,67108864  ,21.229861436
Three-Pointer,8 ,268435456 ,67108864  ,20.994936562
Three-Pointer,8 ,268435456 ,67108864  ,20.887660476
Three-Pointer,8 ,268435456 ,67108864  ,20.665975350
Three-Pointer,8 ,268435456 ,67108864  ,21.490453370
Three-Pointer,8 ,268435456 ,67108864  ,21.025291501
Three-Pointer,8 ,1073741824,67108864  ,0.155224325
Three-Pointer,8 ,1073741824,67108864  ,0.180270221
Three-Pointer,8 ,1073741824,67108864  ,0.209862863
Three-Pointer,8 ,1073741824,67108864  ,0.206045182
Three-Pointer,8 ,1073741824,67108864  ,0.176566352
Three-Pointer,8 ,4294967296,67108864  ,0.104823517
Three-Pointer,8 ,4294967296,67108864  ,0.134210118
Three-Pointer,8 ,4294967296,67108864  ,0.119685469
