Approach, Number of Writers, Buffer Size, Numbers to write, Time elapsed
Three-Pointer,8 ,64        ,67108864  ,4.923855510
Three-Pointer,8 ,64        ,67108864  ,4.746739154
Three-Pointer,8 ,64        ,67108864  ,4.699671363
Three-Pointer,8 ,64        ,67108864  ,5.584929195
Three-Pointer,8 ,64        ,67108864  ,4.685624700
Three-Pointer,8 ,128       ,67108864  ,5.534510260
Three-Pointer,8 ,128       ,67108864  ,4.734373424
Three-Pointer,8 ,128       ,67108864  ,5.454565361
Three-Pointer,8 ,128       ,67108864  ,5.506629724
Three-Pointer,8 ,128       ,67108864  ,4.761466186
Three-Pointer,8 ,256       ,67108864  ,4.674519967
Three-Pointer,8 ,256       ,67108864  ,5.327793103
Three-Pointer,8 ,256       ,67108864  ,4.778318157
Three-Pointer,8 ,256       ,67108864  ,4.783629718
Three-Pointer,8 ,256       ,67108864  ,4.713015321
Three-Pointer,8 ,512       ,67108864  ,4.574308913
Three-Pointer,8 ,512       ,67108864  ,5.562040126
Three-Pointer,8 ,512       ,67108864  ,5.271827914
Three-Pointer,8 ,512       ,67108864  ,5.538945552
Three-Pointer,8 ,512       ,67108864  ,4.612762714
Three-Pointer,8 ,1024      ,67108864  ,4.718320086
Three-Pointer,8 ,1024      ,67108864  ,4.828500010
Three-Pointer,8 ,1024      ,67108864  ,4.716313495
Three-Pointer,8 ,1024      ,67108864  ,5.535380614
Three-Pointer,8 ,1024      ,67108864  ,4.554744806
Three-Pointer,8 ,2048      ,67108864  ,4.902305393
Three-Pointer,8 ,2048      ,67108864  ,5.520006035
Three-Pointer,8 ,2048      ,67108864  ,4.649257061
Three-Pointer,8 ,2048      ,67108864  ,4.679884692
Three-Pointer,8 ,2048      ,67108864  ,4.520918519
Three-Pointer,8 ,4096      ,67108864  ,4.697365525
Three-Pointer,8 ,4096      ,67108864  ,4.659062098
Three-Pointer,8 ,4096      ,67108864  ,4.707286297
Three-Pointer,8 ,4096      ,67108864  ,5.496359251
Three-Pointer,8 ,4096      ,67108864  ,4.719977460
Three-Pointer,8 ,8192      ,67108864  ,4.544994443
Three-Pointer,8 ,8192      ,67108864  ,4.610376459
Three-Pointer,8 ,8192      ,67108864  ,4.872920486
Three-Pointer,8 ,8192      ,67108864  ,5.561240019
Three-Pointer,8 ,8192      ,67108864  ,4.654019613
Three-Pointer,8 ,16384     ,67108864  ,5.504856554
Three-Pointer,8 ,16384     ,67108864  ,4.547181105
Three-Pointer,8 ,16384     ,67108864  ,5.009547832
Three-Pointer,8 ,16384     ,67108864  ,5.514755344
Three-Pointer,8 ,16384     ,67108864  ,5.512370705
Three-Pointer,8 ,32768     ,67108864  ,5.488204406
Three-Pointer,8 ,32768     ,67108864  ,4.639678227
